AccountName,SLA_Level,Health_Score_100,Health_Status,Urgent_Open_Tickets,Review_Eligible,Eligibility_Reason
EmeraldMicro Solutions,Bronze,20,CRITICAL,10,ELIGIBLE,Renewal within 90 days
NorthStream Industries,Bronze,20,CRITICAL,9,ELIGIBLE,Renewal within 90 days
BlueGrid Holdings,Silver,25,CRITICAL,12,ELIGIBLE,Renewal within 90 days
CascadeLabs LLC,Silver,25,CRITICAL,13,ELIGIBLE,ACV above review threshold
CopperNetworks Technologies,Silver,25,CRITICAL,12,ELIGIBLE,ACV above review threshold
GraniteData Corp,Silver,25,CRITICAL,13,ELIGIBLE,Renewal within 90 days
PioneerSignal Partners,Bronze,25,CRITICAL,4,NOT ELIGIBLE,No escalation trigger met
Standard Logic Group,Bronze,25,CRITICAL,4,NOT ELIGIBLE,No escalation trigger met
SterlingCompute Holdings,Silver,25,CRITICAL,8,ELIGIBLE,ACV above review threshold
ApexData Global,Silver,30,CRITICAL,4,ELIGIBLE,ACV above review threshold
CedarLink Inc,Silver,30,CRITICAL,4,ELIGIBLE,ACV above review threshold
DeltaCloud Group,Gold,30,CRITICAL,14,ELIGIBLE,ACV above review threshold
DeltaLogic LLC,Gold,30,CRITICAL,7,ELIGIBLE,Renewal within 90 days
GraniteByte Industries,Gold,30,CRITICAL,6,ELIGIBLE,Renewal within 90 days
PioneerDynamics Partners,Bronze,30,CRITICAL,3,ELIGIBLE,ACV above review threshold
VertexWorks Systems,Gold,30,CRITICAL,11,ELIGIBLE,High urgent ticket volume
AtlasNetworks Partners,Platinum,35,CRITICAL,10,ELIGIBLE,ACV above review threshold
BeaconPulse Industries,Silver,35,CRITICAL,3,ELIGIBLE,Renewal within 90 days
GraniteCompute Technologies,Bronze,35,CRITICAL,2,NOT ELIGIBLE,No escalation trigger met
GraniteLoop Group,Silver,35,CRITICAL,3,ELIGIBLE,ACV above review threshold
Helios Fabric Co,Bronze,35,CRITICAL,2,NOT ELIGIBLE,No escalation trigger met
KeystoneAnalytics LLC,Bronze,35,CRITICAL,10,ELIGIBLE,Renewal within 90 days
KeystoneMicro Global,Bronze,35,CRITICAL,5,ELIGIBLE,Renewal within 90 days
SterlingVector Technologies,Bronze,35,CRITICAL,7,ELIGIBLE,Renewal within 90 days
SummitSphere Group,Bronze,35,CRITICAL,2,NOT ELIGIBLE,No escalation trigger met
VanguardStream Solutions,Platinum,35,CRITICAL,6,ELIGIBLE,High urgent ticket volume
Allied Wave Co,Silver,40,AT_RISK,8,,
AtlasLoop Systems,Silver,40,AT_RISK,2,,
AtlasNetworks Global,Silver,40,AT_RISK,6,,
Helios Networks LLC,Silver,40,AT_RISK,6,,
LarkSystems Systems,Silver,40,AT_RISK,12,,
NovaTech Co,Silver,40,AT_RISK,10,,
PacificStream Group,Bronze,40,AT_RISK,4,,
Pan-Atlantic Digital LLC,Bronze,40,AT_RISK,4,,
PioneerByte Corp,Gold,40,AT_RISK,3,,
SterlingWave Inc,Gold,40,AT_RISK,3,,
VertexFabric Systems,Silver,40,AT_RISK,15,,
AtlasSystems Inc,Bronze,45,AT_RISK,0,,
CedarVector LLC,Bronze,45,AT_RISK,0,,
CobaltGrid Technologies,Bronze,45,AT_RISK,3,,
Consolidated Stream Global,Bronze,45,AT_RISK,10,,
CopperMetric LLC,Bronze,45,AT_RISK,3,,
CrownData Corp,Gold,45,AT_RISK,2,,
DeltaSphere Holdings,Gold,45,AT_RISK,14,,
IronGrid Inc,Gold,45,AT_RISK,6,,
LarkMetric Holdings,Gold,45,AT_RISK,2,,
Meridian Data Partners,Silver,45,AT_RISK,4,,
NovaNexus Industries,Bronze,45,AT_RISK,3,,
NovaTech Industries,Silver,45,AT_RISK,1,,
SilverFabric Global,Bronze,45,AT_RISK,0,,
