AccountName,Eligibility_Reason
ApexData Global,ACV above review threshold
AtlasNetworks Partners,ACV above review threshold
BeaconPulse Industries,Renewal within 90 days
BlueGrid Holdings,Renewal within 90 days
CascadeLabs LLC,ACV above review threshold
CedarLink Inc,ACV above review threshold
CopperNetworks Technologies,ACV above review threshold
DeltaCloud Group,ACV above review threshold
DeltaLogic LLC,Renewal within 90 days
EmeraldMicro Solutions,Renewal within 90 days
GraniteByte Industries,Renewal within 90 days
GraniteData Corp,Renewal within 90 days
GraniteLoop Group,ACV above review threshold
KeystoneAnalytics LLC,Renewal within 90 days
KeystoneMicro Global,Renewal within 90 days
NorthStream Industries,Renewal within 90 days
PioneerDynamics Partners,ACV above review threshold
SterlingCompute Holdings,ACV above review threshold
SterlingVector Technologies,Renewal within 90 days
VanguardStream Solutions,High urgent ticket volume
VertexWorks Systems,High urgent ticket volume
