Id,Name,Tier__c,CustomerPriority__c,SLA__c,Industry,Region__c,ContractStatus__c,ContractStartDate__c,ContractEndDate__c,AnnualContractValue__c,ProductLine__c,CreatedDate,BillingCountry,NumberOfEmployees,Website,AccountSource
001000000000000000,Helios Fabric Co,SMB,High,Bronze,Biotech,EMEA,Expired,2025-04-18,2026-04-18,56714,AI Studio,2019-12-12,DE,17344,www.helios.com,Event
001000000000000001,PioneerSignal Partners,SMB,High,Bronze,Healthcare,APAC,Expired,2025-02-16,2026-02-16,40941,AI Studio,2025-03-04,UK,26619,www.pioneersignal.com,Inbound
001000000000000002,SummitSphere Group,SMB,High,Bronze,Retail,NA-East,Expired,2025-04-03,2026-04-03,43900,AI Studio,2025-01-06,AU,6393,www.summitsphere.com,Event
001000000000000003,Standard Logic Group,SMB,High,Bronze,Biotech,NA-East,Expired,2025-02-19,2026-02-19,111978,AI Studio,2023-01-12,DE,34254,www.standard.com,Outbound
001000000000000004,GraniteCompute Technologies,SMB,High,Bronze,Healthcare,NA-West,Expired,2025-02-09,2026-02-09,94740,Edge Connect,2024-01-04,DE,34717,www.granitecompute.com,Event
001000000000000005,CedarMetric Holdings,SMB,Medium,Bronze,Healthcare,APAC,Active,2026-10-01,2027-10-01,42722,Analytics Suite,2024-08-27,FR,54174,www.cedarmetric.com,Event
001000000000000006,Standard Pulse Solutions,Enterprise,Low,Bronze,Public Sector,APAC,Active,2026-08-30,2027-08-30,628099,Data Sync,2020-01-12,JP,4385,www.standard.com,Event
001000000000000007,VertexSystems LLC,Enterprise,High,Silver,Energy,APAC,Active,2026-05-31,2027-05-31,1114032,Edge Connect,2023-07-12,UK,20034,www.vertexsystems.com,Partner
001000000000000008,Helios Sphere Solutions,Enterprise,Medium,Bronze,Manufacturing,LATAM,Expired,2024-12-31,2025-12-31,171617,Core Platform,2022-07-14,DE,58525,www.helios.com,Outbound
001000000000000009,CrownByte Partners,SMB,High,Gold,Energy,APAC,Expired,2024-10-30,2025-10-30,14515,AI Studio,2019-08-01,FR,20153,www.crownbyte.com,Partner
001000000000000010,CedarStream Solutions,SMB,High,Gold,Public Sector,NA-West,Active,2026-01-24,2027-01-24,12659,Data Sync,2021-01-18,AU,33399,www.cedarstream.com,Outbound
001000000000000011,BrightNetworks Holdings,Enterprise,High,Gold,Education,EMEA,Active,2026-12-13,2027-12-13,120858,Edge Connect,2020-08-16,US,57294,www.brightnetworks.com,Partner
001000000000000012,SableCloud Corp,Enterprise,Low,Gold,Healthcare,NA-West,Active,2025-09-13,2026-09-13,1026586,Analytics Suite,2023-08-20,IN,47684,www.sablecloud.com,Outbound
001000000000000013,NovaCore Technologies,SMB,Low,Bronze,Manufacturing,APAC,Active,2025-10-21,2026-10-21,41509,AI Studio,2020-03-18,SG,58074,www.novacore.com,Outbound
001000000000000014,CobaltLabs Corp,SMB,Low,Silver,Healthcare,NA-East,Expired,2024-10-23,2025-10-23,52010,AI Studio,2025-01-10,IN,57315,www.cobaltlabs.com,Partner
001000000000000015,EmeraldAnalytics Solutions,Enterprise,Medium,Gold,Energy,NA-East,Active,2026-10-02,2027-10-02,755587,Core Platform,2020-10-04,SG,49543,www.emeraldanalytics.com,Event
001000000000000016,BrightFabric Solutions,Enterprise,Low,Silver,Biotech,EMEA,Active,2026-06-03,2027-06-03,864409,Analytics Suite,2022-11-11,IN,37761,www.brightfabric.com,Event
001000000000000017,AuroraVector Systems,Enterprise,Medium,Platinum,Biotech,EMEA,Active,2025-08-03,2026-08-03,94110,Data Sync,2022-11-05,SG,46700,www.auroravector.com,Event
001000000000000018,SterlingLink Partners,Enterprise,High,Platinum,Manufacturing,APAC,Active,2025-10-17,2026-10-17,644703,Data Sync,2025-03-20,JP,22558,www.sterlinglink.com,Partner
001000000000000019,CopperFabric Group,Enterprise,Medium,Silver,Manufacturing,EMEA,Active,2026-07-14,2027-07-14,1113752,Edge Connect,2023-08-07,US,19683,www.copperfabric.com,Outbound
001000000000000020,HarborLoop Global,Enterprise,Medium,Gold,Education,EMEA,Active,2025-08-01,2026-08-01,1057511,Core Platform,2024-09-28,US,12253,www.harborloop.com,Outbound
001000000000000021,EmeraldCloud Solutions,SMB,Medium,Silver,Telecom,APAC,Active,2026-11-28,2027-11-28,48829,Core Platform,2020-09-30,UK,36929,www.emeraldcloud.com,Partner
